year,month,period,tendays,Q_cms,era
1959,1,early,1,12.7,EIA
1960,1,early,1,12.01,EIA
1961,1,early,1,9.46,EIA
1962,1,early,1,14.39,EIA
1963,1,early,1,7.6,EIA
1964,1,early,1,8.61,EIA
1965,1,early,1,13.27,EIA
1966,1,early,1,8.38,EIA
1967,1,early,1,8.58,EIA
1968,1,early,1,14.17,EIA
1969,1,early,1,8.11,EIA
1970,1,early,1,9.51,EIA
1971,1,early,1,12.87,EIA
1972,1,early,1,20.03,EIA
1973,1,early,1,8.92,EIA
1974,1,early,1,6.87,EIA
1975,1,early,1,22.07,EIA
1976,1,early,1,12.83,EIA
1977,1,early,1,9.3,EIA
1978,1,early,1,14.96,EIA
1979,1,early,1,15.18,EIA
1980,1,early,1,8.24,EIA
1981,1,early,1,9.56,EIA
1982,1,early,1,10.5,EIA
1983,1,early,1,7.54,EIA
1984,1,early,1,7.8,EIA
1985,1,early,1,5.41,EIA
1986,1,early,1,6.91,EIA
1987,1,early,1,11.14,EIA
1988,1,early,1,9.53,EIA
1989,1,early,1,6.78,EIA
1990,1,early,1,15.8,EIA
1991,1,early,1,7.69,EIA
1992,1,early,1,12.11,EIA
1993,1,early,1,6.64,EIA
1994,1,early,1,8.72,EIA
1995,1,early,1,8.16,EIA
1996,1,early,1,6.6,EIA_Difference
1997,1,early,1,11.77,EIA_Difference
1998,1,early,1,4.8,EIA_Difference
1999,1,early,1,11.84,EIA_Difference
2000,1,early,1,7.92,EIA_Difference
2001,1,early,1,9.2,EIA_Difference
2002,1,early,1,7.95,EIA_Difference
2003,1,early,1,21.15,EIA_Difference
2004,1,early,1,18.49,EIA_Difference
2005,1,early,1,10.29,EIA_Difference
2006,1,early,1,13.29,Current
2007,1,early,1,8.58,Current
2008,1,early,1,8.16,Current
2009,1,early,1,9.75,Current
2010,1,early,1,9.84,Current
2011,1,early,1,9.58,Current
2012,1,early,1,15.91,Current
2013,1,early,1,3,Current
2014,1,early,1,11.28,Current
2015,1,early,1,9.8,Current
2016,1,early,1,12.92,Current
2017,1,early,1,15.43,Current
2018,1,early,1,27.05,Current
2019,1,early,1,10.4,Current
1959,1,mid,2,1,EIA
1960,1,mid,2,10.25,EIA
1961,1,mid,2,11.38,EIA
1962,1,mid,2,8.6,EIA
1963,1,mid,2,12.92,EIA
1964,1,mid,2,7.16,EIA
1965,1,mid,2,7.48,EIA
1966,1,mid,2,11.68,EIA
1967,1,mid,2,6.97,EIA
1968,1,mid,2,10.05,EIA
1969,1,mid,2,12.02,EIA
1970,1,mid,2,7.35,EIA
1971,1,mid,2,13.38,EIA
1972,1,mid,2,10.7,EIA
1973,1,mid,2,16.58,EIA
1974,1,mid,2,9.24,EIA
1975,1,mid,2,6.95,EIA
1976,1,mid,2,18.84,EIA
1977,1,mid,2,11.84,EIA
1978,1,mid,2,8.72,EIA
1979,1,mid,2,16.96,EIA
1980,1,mid,2,14.2,EIA
1981,1,mid,2,8.53,EIA
1982,1,mid,2,7.57,EIA
1983,1,mid,2,10.15,EIA
1984,1,mid,2,1,EIA
1985,1,mid,2,7.55,EIA
1986,1,mid,2,7.46,EIA
1987,1,mid,2,7.55,EIA
1988,1,mid,2,10.3,EIA
1989,1,mid,2,10.11,EIA
1990,1,mid,2,6.82,EIA
1991,1,mid,2,12.38,EIA
1992,1,mid,2,8.07,EIA
1993,1,mid,2,10.93,EIA
1994,1,mid,2,6,EIA
1995,1,mid,2,9.04,EIA
1996,1,mid,2,8.24,EIA_Difference
1997,1,mid,2,6.1,EIA_Difference
1998,1,mid,2,11.09,EIA_Difference
1999,1,mid,2,7.63,EIA_Difference
2000,1,mid,2,7.31,EIA_Difference
2001,1,mid,2,7.82,EIA_Difference
2002,1,mid,2,15.6,EIA_Difference
2003,1,mid,2,9.6,EIA_Difference
2004,1,mid,2,10.08,EIA_Difference
