No,year,month,date,Discharge_CMS,Sed_Con_ppm,Sus_Load_MTDay,date_full,SSL_expected,flag
1,2023,1,6,8.69,725,554.41,2023-01-06,544.3416000000001,ok
2,2023,1,12,7.87,800,543.97,2023-01-12,543.9744000000001,ok
3,2023,2,7,3.28,0,0,2023-02-07,0,below_detection
4,2023,2,21,9.32,528,425.09,2023-02-21,425.170944,ok
5,2023,3,6,12.93,0,0,2023-03-06,0,below_detection
6,2023,3,22,7.38,0,0,2023-03-22,0,below_detection
7,2023,4,13,7.4,0,0,2023-04-13,0,below_detection
8,2023,4,24,8.16,0,0,2023-04-24,0,below_detection
9,2023,5,11,7.1,0,0,2023-05-11,0,below_detection
10,2023,5,30,5.28,0,0,2023-05-30,0,typo_corrected
11,2023,6,9,10.36,515,460.94,2023-06-09,460.97856,ok
12,2023,6,13,10.39,532,477.53,2023-06-13,477.57427200000006,ok
13,2023,6,26,9.88,0,0,2023-06-26,0,below_detection
14,2023,7,13,6.44,434,241.57,2023-07-13,241.48454400000003,ok
15,2023,7,20,9.13,485,382.49,2023-07-20,382.58352,ok
16,2023,7,24,8.23,403,286.59,2023-07-24,286.562016,ok
17,2023,8,11,20.85,3890,7006.61,2023-08-11,7007.6016,ok
18,2023,8,16,15.59,1580,2141.16,2023-08-16,2128.22208,ok
19,2023,8,28,12.89,1191,1326.84,2023-08-28,1326.411936,ok
20,2023,9,6,397.42,3362,115441.03,2023-09-06,115441.289856,ok
21,2023,9,14,127.84,578,6384.44,2023-09-14,6384.227328000001,ok
22,2023,9,22,184.01,0,0,2023-09-22,0,below_detection
23,2023,10,16,46.26,0,0,2023-10-16,0,below_detection
24,2023,10,24,21.44,0,0,2023-10-24,0,below_detection
25,2023,10,30,23.66,0,0,2023-10-30,0,below_detection
26,2023,11,13,13.75,0,0,2023-11-13,0,below_detection
27,2023,11,21,10.41,0,0,2023-11-21,0,below_detection
28,2023,11,27,12.28,0,0,2023-11-27,0,below_detection
29,2023,12,14,8.83,0,0,2023-12-14,0,below_detection
